Title,Company,Date Posted,Experience,Skills/Desc,Link
"Senior Manager, Data Governance, Data Analytics and AI Department at Diamond Trust Bank (DTB)",View Jobs at Diamond Trust Bank (DTB),"Senior Manager, Data Governance, Data Analytics and AI Department at Diamond Trust Bank (DTB)View Jobs in Banking / Financial Services/View Jobs at Diamond Trust Bank (DTB):Dec 11, 2025Deadline:Dec 22, 2025SaveEmail",with data governance tools.,N/A,https://www.myjobmag.co.ke/job/senior-manager-data-governance-data-analytics-and-ai-department-diamond-trust-bank-dtb
Data Centre Officer at Reeds Africa Consult,View Jobs at Reeds Africa Consult,"Data Centre Officer at Reeds Africa ConsultView Jobs in Consulting/View Jobs at Reeds Africa Consult:Dec 11, 2025Deadline:Dec 18, 2025SaveEmail",supporting mission-critical systems in a multi-vendor environment.,N/A,https://www.myjobmag.co.ke/job/data-centre-officer-reeds-africa-consult
Data Analyst - Credit Eligibility at M-KOPA Solar,View Jobs at M-KOPA Solar,"Data Analyst - Credit Eligibility at M-KOPA SolarView Jobs in Engineering / Technical/View Jobs at M-KOPA Solar:Dec 11, 2025Deadline:Not specifiedSaveEmail","(Nice to have)  in credit, underwriting, or lending analytics",N/A,https://www.myjobmag.co.ke/job/data-analyst-credit-eligibility-m-kopa-solar
Urban Observatory and Data Systems Specialist at UN-Habitat,View Jobs at UN-Habitat,"Urban Observatory and Data Systems Specialist at UN-HabitatView Jobs in NGO / Non-Profit Associations/View Jobs at UN-Habitat:Dec 10, 2025Deadline:Dec 19, 2025SaveEmail",5 years,N/A,https://www.myjobmag.co.ke/job/urban-observatory-and-data-systems-specialist-un-habitat
Associate- Data Annotation (3D LiDAR ) at Digital Divide Data,View Jobs at Digital Divide Data,"Associate- Data Annotation (3D LiDAR ) at Digital Divide DataView Jobs in Consulting/View Jobs at Digital Divide Data:Dec 10, 2025Deadline:Jan 31, 2026SaveEmail",3 years,N/A,https://www.myjobmag.co.ke/job/associate-data-annotation-3d-lidar-digital-divide-data
Data and Reporting Manager at Mara Elephant Project (MEP),View Jobs at Mara Elephant Project (MEP),"Data and Reporting Manager at Mara Elephant Project (MEP)View Jobs in NGO / Non-Profit Associations/View Jobs at Mara Elephant Project (MEP):Dec 10, 2025Deadline:Dec 25, 2025SaveEmail","Excellent communication skills for reporting, presentation, troubleshooting, and training. Solid project management skills with ability to coordinate across teams and meet deadlines. Knowledge of conservation principles, biodiversity monitoring, and habitat management.  organizing or facilitating workshops and training sessions.",N/A,https://www.myjobmag.co.ke/job/data-and-reporting-manager-mara-elephant-project-mep
Data Engineer at KCB Bank Kenya,View Jobs at KCB Bank Kenya,"Data Engineer at KCB Bank KenyaView Jobs in Banking / Financial Services/View Jobs at KCB Bank Kenya:Dec 10, 2025Deadline:Dec 23, 2025SaveEmail",,N/A,https://www.myjobmag.co.ke/job/data-engineer-kcb-bank-kenya-6
Data Analytics Intern at Jubilee Insurance,View Jobs at Jubilee Insurance,"Data Analytics Intern at Jubilee InsuranceView Jobs in Insurance/View Jobs at Jubilee Insurance:Dec 9, 2025Deadline:Dec 18, 2025SaveEmail",,N/A,https://www.myjobmag.co.ke/job/data-analytics-intern-jubilee-insurance
"Head of Digital, Data and Technology at Global Alliance for Improved Nutrition (GAIN)",View Jobs at Global Alliance for Improved Nutrition (GAIN),"Head of Digital, Data and Technology at Global Alliance for Improved Nutrition (GAIN)View Jobs in NGO / Non-Profit Associations/View Jobs at Global Alliance for Improved Nutrition (GAIN):Dec 9, 2025Deadline:Dec 19, 2025SaveEmail",,N/A,https://www.myjobmag.co.ke/job/head-of-digital-data-and-technology-global-alliance-for-improved-nutrition-gain
ICT Architecture & Data Governance Manager at National Bank of Kenya,View Jobs at National Bank of Kenya,"ICT Architecture & Data Governance Manager at National Bank of KenyaView Jobs in Banking / Financial Services/View Jobs at National Bank of Kenya:Dec 8, 2025Deadline:Dec 19, 2025SaveEmail","in business process modelling, analysis and functional design, writing business and process documentation, system/data analysis and data interrogation",N/A,https://www.myjobmag.co.ke/job/ict-architecture-data-governance-manager-national-bank-of-kenya-2
Intern Data Analytics Developer at Sybyl Limited,View Jobs at Sybyl Limited,"Intern Data Analytics Developer at Sybyl LimitedView Jobs in ICT / Telecommunication/View Jobs at Sybyl Limited:Dec 8, 2025Deadline:Not specifiedSaveEmail",,N/A,https://www.myjobmag.co.ke/job/intern-data-analytics-developer-sybyl-limited
Data Scientist at I&M Bank,View Jobs at I&M Bank,"Data Scientist at I&M BankView Jobs in Banking / Financial Services/View Jobs at I&M Bank:Dec 8, 2025Deadline:Dec 13, 2025SaveEmail",2 - 5 years,N/A,https://www.myjobmag.co.ke/job/data-scientist-i-m-bank-1
Data Engineer (Hospitality) – Nairobi at Summit Recruitment and Search,View Jobs at Summit Recruitment and Search,"Data Engineer (Hospitality) – Nairobi at Summit Recruitment and SearchView Jobs in Consulting/View Jobs at Summit Recruitment and Search:Dec 8, 2025Deadline:Not specifiedSaveEmail","working with automation, process optimisation, and workflow efficiencies",N/A,https://www.myjobmag.co.ke/job/data-engineer-hospitality-nairobi-summit-recruitment-and-search
Group Data Protection Officer- Nairobi at Summit Recruitment and Search,View Jobs at Summit Recruitment and Search,"Group Data Protection Officer- Nairobi at Summit Recruitment and SearchView Jobs in Consulting/View Jobs at Summit Recruitment and Search:Dec 8, 2025Deadline:Not specifiedSaveEmail","in data protection, compliance, information security, or regulatory roles, preferably within the hospitality, travel, or service industry.",N/A,https://www.myjobmag.co.ke/job/group-data-protection-officer-nairobi-summit-recruitment-and-search
Data Analysis Trainer at Mediacrest Training College,View Jobs at Mediacrest Training College,"Data Analysis Trainer at Mediacrest Training CollegeView Jobs in Education / Teaching/View Jobs at Mediacrest Training College:Dec 8, 2025Deadline:Dec 19, 2025SaveEmail","Practical Skills:  in building datasets, cleaning data, modeling, visualization and preparing executive reports.",N/A,https://www.myjobmag.co.ke/job/data-analysis-trainer-mediacrest-training-college
Data Analyst - CEMA at University of Nairobi,View Jobs at University of Nairobi,"Data Analyst - CEMA at University of NairobiView Jobs in Education / Teaching/View Jobs at University of Nairobi:Dec 6, 2025Deadline:Dec 19, 2025SaveEmail",collaborating with multidisciplinary teams.,N/A,https://www.myjobmag.co.ke/job/data-analyst-cema-university-of-nairobi
Lecturer - Data Analytics at Umma University,View Jobs at Umma University,"Lecturer - Data Analytics at Umma UniversityView Jobs in Education / Teaching/View Jobs at Umma University:Dec 6, 2025Deadline:Dec 15, 2025SaveEmail",,N/A,https://www.myjobmag.co.ke/job/lecturer-data-analytics-umma-university
Data Analyst at UN-Habitat,View Jobs at UN-Habitat,"Data Analyst at UN-HabitatView Jobs in NGO / Non-Profit Associations/View Jobs at UN-Habitat:Dec 4, 2025Deadline:Dec 14, 2025SaveEmail",5 years,N/A,https://www.myjobmag.co.ke/job/data-analyst-un-habitat-4
Data Protection Officer at The Nairobi Hospital,View Jobs at The Nairobi Hospital,"Data Protection Officer at The Nairobi HospitalView Jobs in Healthcare / Medical/View Jobs at The Nairobi Hospital:Dec 4, 2025Deadline:Dec 15, 2025SaveEmail",,N/A,https://www.myjobmag.co.ke/job/data-protection-officer-the-nairobi-hospital
Data Center Management Engineer at HCS Affiliates Group,View Jobs at HCS Affiliates Group,"Data Center Management Engineer at HCS Affiliates GroupView Jobs in Consulting/View Jobs at HCS Affiliates Group:Dec 4, 2025Deadline:Not specifiedSaveEmail",2 years,N/A,https://www.myjobmag.co.ke/job/data-center-management-engineer-hcs-affiliates-group-2
Tutorial Fellow - Data Analytics at Zetech University,View Jobs at Zetech University,"Tutorial Fellow - Data Analytics at Zetech UniversityView Jobs in Education / Teaching/View Jobs at Zetech University:Dec 4, 2025Deadline:Dec 18, 2025SaveEmail",3 years,N/A,https://www.myjobmag.co.ke/job/tutorial-fellow-data-analytics-zetech-university
Data Analytics Specialist at Jubilee Insurance,View Jobs at Jubilee Insurance,"Data Analytics Specialist at Jubilee InsuranceView Jobs in Insurance/View Jobs at Jubilee Insurance:Dec 4, 2025Deadline:Dec 13, 2025SaveEmail",collaborating with cross-functional teams to define reporting requirements and deliver actionable insights.,N/A,https://www.myjobmag.co.ke/job/data-analytics-specialist-jubilee-insurance
Data & Analytics Manager at Jacaranda Health,View Jobs at Jacaranda Health,"Data & Analytics Manager at Jacaranda HealthView Jobs in NGO / Non-Profit Associations/View Jobs at Jacaranda Health:Dec 3, 2025Deadline:Dec 17, 2025SaveEmail",7 years,N/A,https://www.myjobmag.co.ke/job/data-analytics-manager-jacaranda-health
Data Engineer at BURN,View Jobs at BURN,"Data Engineer at BURNView Jobs in Power / Energy/View Jobs at BURN:Dec 2, 2025Deadline:Not specifiedSaveEmail","supporting AI/ML data operations (feature stores, data prep, inference datasets).",N/A,https://www.myjobmag.co.ke/job/data-engineer-burn-4
